Manufacturer,Model,Unit Sales,Price,Year Resale Value,Retention %,Retention Value,Engine Size,Horsepower,HP Level,Vehicle_type,Fuel Efficiency,Power Perf Factor,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Latest Launch,,,,,,,
Acura,Integra,16919,"$21,500","$16,360",76%,GOOD,1.8,140,Medium HP,Passenger,28,58.28,101.2,67.30,172.4,2.639,13.2,02-02-2012,,,,,,,
Acura,TL,39384,"$28,400","$19,875",70%,GOOD,3.2,225,Medium HP,Passenger,25,91.37,108.1,70.30,192.9,3.517,17.2,03-06-2011,,,,,,,
Acura,RL,8588,"$42,000","$29,725",71%,GOOD,3.5,210,Medium HP,Passenger,22,91.39,114.6,71.40,196.6,3.850,18,10-03-2011,,,,,,,
Audi,A4,20397,"$23,990","$22,255",93%,GOOD,1.8,150,Medium HP,Passenger,27,62.78,102.6,68.20,178.0,2.998,16.4,08-10-2011,,,,,,,
Audi,A6,18780,"$33,950","$23,555",69%,GOOD,2.8,200,Medium HP,Passenger,22,84.57,108.7,76.10,192.0,3.561,18.5,09-08-2011,,,,,,,
Audi,A8,1380,"$62,000","$39,000",63%,POOR,4.2,310,High HP,Passenger,21,134.66,113.0,74.00,198.2,3.902,23.7,27-02-2012,,,,,,,
BMW,323i,19747,"$26,990","$24,500",91%,GOOD,2.5,170,Medium HP,Passenger,26,71.19,107.3,68.40,176.0,3.179,16.6,28-06-2011,,,,,,,
BMW,328i,9231,"$33,400","$28,675",86%,GOOD,2.8,193,Medium HP,Passenger,24,81.88,107.3,68.50,176.0,3.197,16.6,29-01-2012,,,,,,,
BMW,528i,17527,"$38,900","$36,125",93%,GOOD,2.8,193,Medium HP,Passenger,25,84.00,111.4,70.90,188.0,3.472,18.5,04-04-2011,,,,,,,
Buick,Century,91561,"$21,975","$12,475",57%,POOR,3.1,175,Medium HP,Passenger,25,71.18,109.0,72.70,194.6,3.368,17.5,02-11-2011,,,,,,,
Buick,Regal,39350,"$25,300","$13,740",54%,POOR,3.8,240,Medium HP,Passenger,23,95.64,109.0,72.70,196.2,3.543,17.5,03-09-2011,,,,,,,
Buick,Park Avenue,27851,"$31,965","$20,190",63%,POOR,3.8,205,Medium HP,Passenger,24,85.83,113.8,74.70,206.8,3.778,18.5,23-03-2012,,,,,,,
Buick,LeSabre,83257,"$27,885","$13,360",48%,POOR,3.8,205,Medium HP,Passenger,25,84.25,112.2,73.50,200.0,3.591,17.5,23-07-2011,,,,,,,
Cadillac,DeVille,63729,"$39,895","$22,525",56%,POOR,4.6,275,Medium HP,Passenger,22,113.85,115.3,74.50,207.2,3.978,18.5,23-02-2012,,,,,,,
Cadillac,Seville,15943,"$44,475","$27,100",61%,POOR,4.6,275,Medium HP,Passenger,22,115.62,112.2,75.00,201.0,3.875,18.5,29-04-2011,,,,,,,
Cadillac,Eldorado,6536,"$39,665","$25,725",65%,POOR,4.6,275,Medium HP,Passenger,22,113.77,108.0,75.50,200.6,3.843,19,27-11-2011,,,,,,,
Cadillac,Catera,11185,"$31,010","$18,225",59%,POOR,3,200,Medium HP,Passenger,22,83.48,107.4,70.30,194.8,3.770,18,28-09-2011,,,,,,,
Cadillac,Escalade,14785,"$46,225","$31,245",68%,POOR,5.7,255,Medium HP,Car,15,109.51,117.5,77.00,201.2,5.572,30,17-04-2012,,,,,,,
Chevrolet,Cavalier,145519,"$13,260","$9,250",70%,GOOD,2.2,115,Medium HP,Passenger,27,46.36,104.1,67.90,180.9,2.676,14.3,17-08-2011,,,,,,,
Chevrolet,Malibu,135126,"$16,535","$11,225",68%,POOR,3.1,170,Medium HP,Passenger,25,67.31,107.0,69.40,190.4,3.051,15,19-03-2012,,,,,,,
Chevrolet,Lumina,24629,"$18,890","$10,310",55%,POOR,3.1,175,Medium HP,Passenger,25,69.99,107.5,72.50,200.9,3.330,16.6,24-05-2011,,,,,,,
Chevrolet,Monte Carlo,42593,"$19,390","$11,525",59%,POOR,3.4,180,Medium HP,Passenger,27,72.03,110.5,72.70,197.9,3.340,17,22-12-2011,,,,,,,
Chevrolet,Camaro,26402,"$24,340","$13,025",54%,POOR,3.8,200,Medium HP,Passenger,25,81.12,101.1,74.10,193.2,3.500,16.8,23-10-2011,,,,,,,
Chevrolet,Corvette,17947,"$55,705","$36,225",65%,POOR,5.7,345,High HP,Passenger,22,141.14,104.5,73.60,179.7,3.210,19.1,12-05-2012,,,,,,,
Chevrolet,Prizm,32299,"$13,960","$9,125",65%,POOR,1.8,120,Medium HP,Passenger,33,48.30,97.1,66.70,174.3,2.398,13.2,11-09-2011,,,,,,,
Chevrolet,Metro,21855,"$9,235","$5,160",56%,POOR,1,55,Low HP,Passenger,45,23.28,93.1,62.60,149.4,1.895,10.3,13-04-2012,,,,,,,
Chevrolet,Impala,107995,"$18,890","$11,550",61%,POOR,3.4,180,Medium HP,Passenger,27,71.84,110.5,73.00,200.0,3.389,17,18-06-2011,,,,,,,
Chrysler,Sebring Coupe,7854,"$19,840","$12,360",62%,POOR,2.5,163,Medium HP,Passenger,24,65.96,103.7,69.70,190.9,2.967,15.9,16-01-2012,,,,,,,
Chrysler,Sebring Conv.,32775,"$24,495","$14,180",58%,POOR,2.5,168,Medium HP,Passenger,24,69.52,106.0,69.20,193.0,3.332,16,17-11-2011,,,,,,,
Chrysler,Concorde,31148,"$22,245","$13,725",62%,POOR,2.7,200,Medium HP,Passenger,26,80.02,113.0,74.40,209.1,3.452,17,06-06-2012,,,,,,,
Chrysler,Cirrus,32306,"$16,480","$12,640",77%,GOOD,2,132,Medium HP,Passenger,27,53.57,108.0,71.00,186.0,2.911,16,06-10-2011,,,,,,,
Chrysler,LHS,13462,"$28,340","$17,325",61%,POOR,3.5,253,Medium HP,Passenger,23,101.33,113.0,74.40,207.7,3.564,17,08-05-2012,,,,,,,
Chrysler,300M,30696,"$29,185","$18,425",63%,POOR,3.5,253,Medium HP,Passenger,23,101.66,113.0,74.40,197.8,3.567,17,10-02-2012,,,,,,,
Dodge,Neon,76034,"$12,640","$7,750",61%,POOR,2,132,Medium HP,Passenger,29,52.08,105.0,74.40,174.4,2.567,12.5,12-12-2011,,,,,,,
Dodge,Avenger,4734,"$19,045","$12,545",66%,POOR,2.5,163,Medium HP,Passenger,24,65.65,103.7,69.10,190.2,2.879,15.9,01-07-2012,,,,,,,
Dodge,Stratus,71186,"$20,230","$10,185",50%,POOR,2.5,168,Medium HP,Passenger,24,67.88,108.0,71.00,186.0,3.058,16,31-10-2011,,,,,,,
Dodge,Intrepid,88028,"$22,505","$12,275",55%,POOR,2.7,202,Medium HP,Passenger,22,80.83,113.0,74.70,203.7,3.489,17,02-06-2012,,,,,,,
Dodge,Viper,916,"$69,725","$58,470",84%,GOOD,8,450,High HP,Passenger,16,188.14,96.2,75.70,176.7,3.375,19,07-08-2011,,,,,,,
Dodge,Ram Pickup,227061,"$19,460","$15,060",77%,GOOD,5.2,230,Medium HP,Car,17,90.21,138.7,79.30,224.2,4.470,26,06-03-2012,,,,,,,
Dodge,Ram Wagon,16767,"$21,315","$15,510",73%,GOOD,3.9,175,Medium HP,Car,15,71.14,109.6,78.80,192.6,4.245,32,06-01-2012,,,,,,,
Dodge,Ram Van,31038,"$18,575","$13,425",72%,GOOD,3.9,175,Medium HP,Car,16,70.08,127.2,78.80,208.5,4.298,32,26-07-2012,,,,,,,
Dodge,Dakota,111313,"$16,980","$11,260",66%,POOR,2.5,120,Medium HP,Car,19,49.65,131.0,71.50,215.0,3.557,22,25-11-2011,,,,,,,
Dodge,Durango,101323,"$26,310","$21,436",81%,GOOD,5.2,230,Medium HP,Car,17,92.85,115.7,71.70,193.5,4.394,25,27-06-2012,,,,,,,
Dodge,Caravan,181749,"$19,565","$12,025",61%,POOR,2.4,150,Medium HP,Car,24,61.23,113.3,76.80,186.3,3.533,20,01-09-2011,,,,,,,
